x_coordinates,true_y,predicted_y,prediction_uncertainty,predict_time_s,update_tree_time_s
0.5260995475203049;0.6988798117675926,1070.5446254516473,995.6133051608094,186.1275595816709,0.000473069999998188,0.04376345700006823
0.6476544692372772;0.2038543626146082,1009.1809923251981,1028.8382238396327,266.04154436832846,0.0005726269999968281,0.0009550109999736378
0.7317494701152487;0.4476684229862766,932.1033804697412,985.3388556614773,227.98047240097748,0.0005665880000833567,0.0009057639999809908
0.4304876057750908;0.7589281155965062,1255.758346827965,1082.9262201645486,283.95698762658844,0.00045160499996654835,0.043755199999964134
0.2455570199082181;0.1967552147455136,1438.1281809418003,1238.0162993110598,165.91538661598014,0.0006369010000071285,0.0008721330000298622
0.5947819349993668;0.7773509895443336,725.1508471206762,1028.422224561504,254.0277376932106,0.0005821319999768093,0.0007949990000497564
0.8057058062118072;0.745389378838524,977.4206435270507,809.8033288156277,262.5104874249137,0.000547417999996469,0.000729436000028727
0.694935962471192;0.9061229338487854,1515.3779894317831,1264.5682948170668,234.7595449553607,0.0005335900000318361,0.0007411850000380582
0.3157938193038555;0.7442570216714821,654.9755184028666,703.0769228059282,151.05669902546222,0.0015605449999611665,0.0007841130000088015
0.9519792602043777;0.09573264470330611,901.6170275386439,1075.0862748150141,222.50555680463953,0.0005227490000834223,0.0007203599999456856
0.4386118384541232;0.026514999242674753,1131.7776399593492,845.3952583373596,335.2361183204199,0.0005252949999885459,0.0008231419999447098
0.757668324872681;0.9557589259192878,845.4184004813352,976.9015275262752,280.8795863571582,0.00047287600000345265,0.0007557679999763423
0.11731976564507429;0.8383645985640066,664.5108632849272,900.2941771853015,311.52838957711026,0.0004630099999758386,0.0007963890000155516
0.5661318420168885;0.8571081462839601,665.4610743751444,1024.1953626428024,289.02604434908693,0.0005025970000360758,0.0008603750000020227
0.6048484866747778;0.2454051167995881,1063.632125058571,1049.5048776804078,191.90803538920323,0.00047132300005614525,0.0007543410000607764
0.7762883755301418;0.9231568231470393,771.9933933749066,993.0068696647725,298.64738921986896,0.00045324400002755283,0.0008036689999926239
0.4013149978177256;0.13706706835229088,1190.1331153400408,881.002598307494,302.0913071471966,0.0005106579999392125,0.0008397569999942789
0.9489929800824467;0.12463969400604646,667.949915651827,1003.104372100253,242.8235437576258,0.0004677570000239939,0.0007272210000337509
0.8193303358098224;0.29909703853510416,1105.0431264398153,1047.5787126874056,227.4671568720249,0.00046527699998932803,0.0007605619999822011
0.5574174745596187;0.09933524863906029,703.0958186249712,887.2402174840776,211.15943849804538,0.000459571999954278,0.0008552879999115248
0.06297491472532613;0.9653878484882097,1370.4447665960931,1110.76695325951,247.20682725007063,0.0005197639999323656,0.0007509220000656569
0.4650259238420926;0.18943962395426206,712.2717610617032,1011.0358692431591,269.02268199885646,0.00047768700005690334,0.0007770790000449779
0.7191392857035055;0.5743945777262165,1048.8526195782533,1128.4532935273403,175.6056877531427,0.0004720460000271487,0.0008874049999576528
0.5898894010633152;0.13916537601289602,611.2877485793299,835.043067070075,235.08384957272028,0.0005042919999596052,0.0007561809999288016
0.9367903747180869;0.9920238672661085,1027.9152584838232,994.472888836075,299.00995649940177,0.00045979300000453804,0.0008008510000081515
